13-05-2021 08:15:21 INFO [Test_Suit  ]: Total links are 127
13-05-2021 08:15:25 INFO [Test_Suit  ]: https://moengage.com/?utm_source=EarlySalary&utm_medium=soft_ask - OK
13-05-2021 08:15:25 INFO [Test_Suit  ]: https://www.earlysalary.com/products/instant-cash/ - OK
13-05-2021 08:15:25 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/ - OK
13-05-2021 08:15:26 INFO [Test_Suit  ]: https://www.earlysalary.com/financial-wellness/ - OK
13-05-2021 08:15:26 INFO [Test_Suit  ]: https://portal.earlysalary.com/SignUp - Not Found
13-05-2021 08:15:26 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs/ - OK
13-05-2021 08:15:26 INFO [Test_Suit  ]: https://portal.earlysalary.com/SignUp - Not Found
13-05-2021 08:15:26 INFO [Test_Suit  ]: https://portal.earlysalary.com/SignUp - Not Found
13-05-2021 08:15:26 INFO [Test_Suit  ]: https://www.earlysalary.com/products/salarycard - OK
13-05-2021 08:15:27 INFO [Test_Suit  ]: https://www.earlysalary.com/products/instant-cash/ - OK
13-05-2021 08:15:27 INFO [Test_Suit  ]: https://www.earlysalary.com/products/ - OK
13-05-2021 08:15:27 INFO [Test_Suit  ]: https://www.earlysalary.com/products/travel/ - OK
13-05-2021 08:15:27 INFO [Test_Suit  ]: https://www.earlysalary.com/products/education/ - OK
13-05-2021 08:15:27 INFO [Test_Suit  ]: https://portal.earlysalary.com/SignUp - Not Found
13-05-2021 08:15:28 INFO [Test_Suit  ]: https://testblog.earlysalary.com/encyclopedia/emi/ - OK
13-05-2021 08:15:29 INFO [Test_Suit  ]: https://testblog.earlysalary.com/encyclopedia/emi/ - OK
13-05-2021 08:15:29 INFO [Test_Suit  ]: https://testblog.earlysalary.com/encyclopedia/kyc/ - OK
13-05-2021 08:15:29 INFO [Test_Suit  ]: https://www.earlysalary.com/# - OK
13-05-2021 08:15:29 INFO [Test_Suit  ]: https://www.earlysalary.com/# - OK
13-05-2021 08:15:30 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs/5-tax-tips-your-workforce-should-know - OK
13-05-2021 08:15:30 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs/earlysalary-your-one-click-solution-for-instant-loans - OK
13-05-2021 08:15:30 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs/how-to-get-personal-loans-without-a-credit-score - OK
13-05-2021 08:15:30 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs - OK
13-05-2021 08:15:30 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs - OK
13-05-2021 08:15:31 INFO [Test_Suit  ]: https://www.mid-day.com/articles/first-day-first-show/22841296 - Internal Server Error
13-05-2021 08:15:46 INFO [Test_Suit  ]: https://timesofindia.indiatimes.com/people/a-loan-in-seconds-that-was-our-goal-akshay-mehrotra-co-founder-ceo-earlysalary/articleshow/69616967.cms - Not Found
13-05-2021 08:15:46 INFO [Test_Suit  ]: https://www.outlookindia.com/newsscroll/kyc-market-leader-hyperverge-enters-vkyc-with-sbi-card-as-marquee-customer/1895739 - OK
13-05-2021 08:15:48 INFO [Test_Suit  ]: https://tech.economictimes.indiatimes.com/news/internet/credit-demand-is-up-but-fintech-lenders-cant-raise-low-cost-debt/77072325 - Not Found
13-05-2021 08:15:48 INFO [Test_Suit  ]: https://www.mediainfoline.com/guesttalk/interview-akshay-mehrotra-co-founder-ceo-earlysalary - Forbidden
13-05-2021 08:15:49 INFO [Test_Suit  ]: https://www.sakaltimes.com/pune/india-inc-cheers-finance-minister-package-announcement-50038 - Forbidden
13-05-2021 08:15:49 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/ahmedabad - OK
13-05-2021 08:15:49 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/bangalore - OK
13-05-2021 08:15:49 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/chennai - OK
13-05-2021 08:15:49 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/delhi-ncr - OK
13-05-2021 08:15:49 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/hyderabad - OK
13-05-2021 08:15:50 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/jaipur - OK
13-05-2021 08:15:50 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/kolkata - OK
13-05-2021 08:15:50 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/mumbai - OK
13-05-2021 08:15:50 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/pune - OK
13-05-2021 08:15:51 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/emi-calculator - Unknown
13-05-2021 08:15:51 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/auto-loan/emi-calculator - OK
13-05-2021 08:15:51 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/emi-calculator - OK
13-05-2021 08:15:51 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/education-loan/emi-calculator - OK
13-05-2021 08:15:51 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/eligibility-criteria - Unknown
13-05-2021 08:15:51 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/eligibility-criteria - OK
13-05-2021 08:15:52 INFO [Test_Suit  ]: https://www.earlysalary.com/salary-advance/eligibility-criteria - OK
13-05-2021 08:15:52 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/travel-loan/eligibility-criteria - OK
13-05-2021 08:15:52 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/document-required - Unknown
13-05-2021 08:15:52 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/document-required - OK
13-05-2021 08:15:52 INFO [Test_Suit  ]: https://www.earlysalary.com/salary-advance/document-required - OK
13-05-2021 08:15:53 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/travel-loan/document-required - OK
13-05-2021 08:15:53 INFO [Test_Suit  ]: https://www.earlysalary.com/products - OK
13-05-2021 08:15:53 INFO [Test_Suit  ]: https://www.earlysalary.com/products/amazon - OK
13-05-2021 08:15:53 INFO [Test_Suit  ]: https://www.earlysalary.com/products/flipkart - OK
13-05-2021 08:15:53 INFO [Test_Suit  ]: https://www.earlysalary.com/products/travel - OK
13-05-2021 08:15:53 INFO [Test_Suit  ]: https://www.earlysalary.com/products/make-my-trip - OK
13-05-2021 08:15:53 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/auto-loan - OK
13-05-2021 08:15:54 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/auto-loan/two-wheeler-loan - OK
13-05-2021 08:15:54 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/auto-loan/used-car-loan - OK
13-05-2021 08:15:54 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan - OK
13-05-2021 08:15:54 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan/smart-tv-loan - OK
13-05-2021 08:15:54 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan/refrigerator-loan - OK
13-05-2021 08:15:54 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan/washing-machine-loan - OK
13-05-2021 08:15:54 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan/ac-loan - OK
13-05-2021 08:15:55 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan/kitchen-appliances-loan - OK
13-05-2021 08:15:55 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan/laptop-loan - OK
13-05-2021 08:15:55 INFO [Test_Suit  ]: https://www.earlysalary.com/products/education - OK
13-05-2021 08:15:55 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/wedding-loan - OK
13-05-2021 08:15:55 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/home-renovation - OK
13-05-2021 08:15:55 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/medical-loan - OK
13-05-2021 08:15:56 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/delhi-ncr - Unknown
13-05-2021 08:15:56 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/bangalore - Unknown
13-05-2021 08:15:56 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/mumbai - Unknown
13-05-2021 08:15:56 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/chennai - Unknown
13-05-2021 08:15:57 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/hyderabad - Unknown
13-05-2021 08:15:57 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/kolkata - Unknown
