16-02-2021 12:01:51 INFO [Test_Suit  ]: Total links are 125
16-02-2021 12:01:52 INFO [Test_Suit  ]: https://moengage.com/?utm_source=EarlySalary&utm_medium=soft_ask - OK
16-02-2021 12:01:52 INFO [Test_Suit  ]: https://www.earlysalary.com/products/instant-cash/ - OK
16-02-2021 12:01:53 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/ - OK
16-02-2021 12:01:53 INFO [Test_Suit  ]: https://www.earlysalary.com/financial-wellness/ - OK
16-02-2021 12:01:53 INFO [Test_Suit  ]: https://portal.earlysalary.com/SignUp - Not Found
16-02-2021 12:01:53 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs/ - OK
16-02-2021 12:01:53 INFO [Test_Suit  ]: https://portal.earlysalary.com/SignUp - Not Found
16-02-2021 12:01:53 INFO [Test_Suit  ]: https://portal.earlysalary.com/SignUp - Not Found
16-02-2021 12:01:54 INFO [Test_Suit  ]: https://www.earlysalary.com/products/salarycard - OK
16-02-2021 12:01:54 INFO [Test_Suit  ]: https://www.earlysalary.com/products/instant-cash/ - OK
16-02-2021 12:01:54 INFO [Test_Suit  ]: https://www.earlysalary.com/products/ - OK
16-02-2021 12:01:54 INFO [Test_Suit  ]: https://www.earlysalary.com/products/travel/ - OK
16-02-2021 12:01:54 INFO [Test_Suit  ]: https://www.earlysalary.com/products/education/ - OK
16-02-2021 12:01:55 INFO [Test_Suit  ]: https://portal.earlysalary.com/SignUp - Not Found
16-02-2021 12:01:55 INFO [Test_Suit  ]: https://testblog.earlysalary.com/encyclopedia/emi/ - OK
16-02-2021 12:01:57 INFO [Test_Suit  ]: https://testblog.earlysalary.com/encyclopedia/emi/ - OK
16-02-2021 12:01:58 INFO [Test_Suit  ]: https://testblog.earlysalary.com/encyclopedia/kyc/ - OK
16-02-2021 12:01:59 INFO [Test_Suit  ]: https://www.earlysalary.com/# - OK
16-02-2021 12:01:59 INFO [Test_Suit  ]: https://www.earlysalary.com/# - OK
16-02-2021 12:01:59 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs/5-tax-tips-your-workforce-should-know - OK
16-02-2021 12:01:59 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs/earlysalary-your-one-click-solution-for-instant-loans - OK
16-02-2021 12:01:59 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs/how-to-get-personal-loans-without-a-credit-score - OK
16-02-2021 12:01:59 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs - OK
16-02-2021 12:02:00 INFO [Test_Suit  ]: https://www.earlysalary.com/blogs - OK
16-02-2021 12:02:22 INFO [Test_Suit  ]: https://timesofindia.indiatimes.com/people/a-loan-in-seconds-that-was-our-goal-akshay-mehrotra-co-founder-ceo-earlysalary/articleshow/69616967.cms - Not Found
16-02-2021 12:02:22 INFO [Test_Suit  ]: https://www.outlookindia.com/newsscroll/kyc-market-leader-hyperverge-enters-vkyc-with-sbi-card-as-marquee-customer/1895739 - OK
16-02-2021 12:02:23 INFO [Test_Suit  ]: https://tech.economictimes.indiatimes.com/news/internet/credit-demand-is-up-but-fintech-lenders-cant-raise-low-cost-debt/77072325 - Not Found
16-02-2021 12:02:24 INFO [Test_Suit  ]: https://www.sakaltimes.com/pune/india-inc-cheers-finance-minister-package-announcement-50038 - Forbidden
16-02-2021 12:02:24 INFO [Test_Suit  ]: https://yourstory.com/2020/07/funding-alert-edtech-startup-inurture-debt-blacksoil - OK
16-02-2021 12:02:24 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/ahmedabad - OK
16-02-2021 12:02:24 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/bangalore - OK
16-02-2021 12:02:25 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/chennai - OK
16-02-2021 12:02:25 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/delhi-ncr - OK
16-02-2021 12:02:25 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/hyderabad - OK
16-02-2021 12:02:25 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/jaipur - OK
16-02-2021 12:02:25 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/kolkata - OK
16-02-2021 12:02:26 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/mumbai - OK
16-02-2021 12:02:26 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loan-in-india/pune - OK
16-02-2021 12:02:26 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/emi-calculator - Unknown
16-02-2021 12:02:26 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/auto-loan/emi-calculator - OK
16-02-2021 12:02:27 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/emi-calculator - OK
16-02-2021 12:02:27 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/education-loan/emi-calculator - OK
16-02-2021 12:02:27 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/eligibility-criteria - Unknown
16-02-2021 12:02:27 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/eligibility-criteria - OK
16-02-2021 12:02:27 INFO [Test_Suit  ]: https://www.earlysalary.com/salary-advance/eligibility-criteria - OK
16-02-2021 12:02:28 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/travel-loan/eligibility-criteria - OK
16-02-2021 12:02:28 INFO [Test_Suit  ]: https://www.earlysalary.com/instant-cash-loan/document-required - Unknown
16-02-2021 12:02:28 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/document-required - OK
16-02-2021 12:02:29 INFO [Test_Suit  ]: https://www.earlysalary.com/salary-advance/document-required - OK
16-02-2021 12:02:29 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/travel-loan/document-required - OK
16-02-2021 12:02:29 INFO [Test_Suit  ]: https://www.earlysalary.com/products - OK
16-02-2021 12:02:29 INFO [Test_Suit  ]: https://www.earlysalary.com/products/amazon - OK
16-02-2021 12:02:29 INFO [Test_Suit  ]: https://www.earlysalary.com/products/flipkart - OK
16-02-2021 12:02:29 INFO [Test_Suit  ]: https://www.earlysalary.com/products/travel - OK
16-02-2021 12:02:30 INFO [Test_Suit  ]: https://www.earlysalary.com/products/make-my-trip - OK
16-02-2021 12:02:30 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/auto-loan - OK
16-02-2021 12:02:30 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/auto-loan/two-wheeler-loan - OK
16-02-2021 12:02:30 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/auto-loan/used-car-loan - OK
16-02-2021 12:02:31 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan - OK
16-02-2021 12:02:31 INFO [Test_Suit  ]: https://www.earlysalary.com/personal-loans/electronics-loan/smart-tv-loan - OK
